DATE,Search With Part No ||Part Name,"M/C
 No","M/B 
Ton",Shift,Part Number,Part Name,"Material 
Name",Grade,No. of Manpower,Cavity,BOP,Shift Time (Hrs),Cycle Time (Sec), ,Plan /Hour [Nos],Plan QTY,Achive_Qty,Ok Qty,Silver,Part Catchup,Half shot,9,Flow mark,Shrinkage,Black spot,Oil/spray Mark,Hole Block,Blow Hole,colour variation,Over Cut,Bubble,ID Over Size,ID under size,Line Mark,Pit Mark,Trials Rej,Others Rej.,Start up Rej.,Total Rej.,PPM,"Part Wt.
[Gms]",Runner Wt.(Gms),Ok Part In Kgs,Runner In Kgs,Rejection In Kgs,Lumps Kgs,Total RM In Kgs,RG Usage,RG Consumption ( +ve / - ve ),"Rejection
 [%]","Waste
[%]",Total Time (Mins),Available Time (Mins),Operating Time (Mins),Mould,Machine,Power cut,Manpower,Packaging,Grinding,Nozzle /HRS,Others,Leakage,Raw material,Proccesing,Preheating Time,Start up,No plan,"Mold change 
( SMED )",Total Down Time,Planed Down Time,Unplaned Down Time,Quality %,Production %,Availability %,Utilization %,O.E.E,Remark,Cost Of Part,Cost Of OK Production,Cost Of Rejection,Rej Qty/OK Qty,PPM Function,UG REJECTION,Cost Of Rejection UG,Month
23-Oct-22,FLAP RADIATOR G91 TOP - FT300368-MO- FL010121,2,450 T,Night,FL010121,FLAP RADIATOR G91 TOP - FT300368-Mo,PPGF20%,GFPP20%,2,1,450 T,12,100,,36,432,232,218,,,8,,,,,,,,,,,,,,,,,6,14,6034.482759,662,16,144.316,3.712,9.268,,157.296,,-12.98,0.06,0,720,495,430,,,,,,,,180,,,,,,20,45,225,65,180,94%,54%,69%,87%,35%,,141.67,30884.06,1983.38,0,14000000,,0,Oct-22
23-Oct-22,PLASTIC SHROUD 307T - A5FWF0205M02 - MO- 21TA00003,2,450 T,Night,21TA00003,PLASTIC SHROUD 307T - A5FWF0205M02 - MO,PP 30% GF,SEB300,2,1,450 T,12,120,,30,360,15,13,,,2,,,,,,,,,,,,,,,,,,2,13333.33333,900,10,11.7,0.15,1.8,,13.65,,-1.95,0.13,0,720,540,540,,,,,,,,180,,,,,,,,180,0,180,87%,4%,75%,100%,3%,,187,2431,374,0,2000000,,0,Oct-22
23-Oct-22,DIA 8.2 FEMALE PLUG FOR DOOR - F6B00410 - MO- 21AL01047,4,100 T,Night,21AL01047,DIA 8.2 FEMALE PLUG FOR DOOR - F6B00410 - MO,NYLON 6,SA102,1,7,100 T,12,25,,1008,12096,4905,4825,,,80,,,,,,,,,,,,,,,,,,80,1630.988787,12,8,57.9,39.24,0.96,,98.1,,-40.2,0.02,0,720,540,540,,,,,,,,180,,,,,,,,180,0,180,98%,41%,75%,100%,30%,,2.25,10856.25,180,0,80000000,,0,Oct-22
23-Oct-22,CAP AE - SH385A1801 - MO- 21MA00005,5,250 T,Night,21MA00005,CAP AE - SH385A1801 - MO,NYLON 66,ZYTEL 3189,1,4,250 T,12,45,,320,3840,2812,2794,18,,,,,,,,,,,,,,,,,,,,18,640.113798,24,2,67.056,5.624,0.432,,73.112,175,168.944,0.01,0,720,540,540,,,,,,,,180,,,,,,,,180,0,180,99%,73%,75%,100%,55%,,19.4,54203.6,349.2,0,18000000,,0,Oct-22
23-Oct-22,DIRT SHIELD - M06431855 - MO- 21TE00034,6,5 L,Night,21TE00034,DIRT SHIELD - M06431855 - MO,TPEE,5401,1,1,5 L,12,30,,120,1440,1080,1063,,,,,,,,,,,,,17,,,,,,,,17,1574.074074,55,35,58.465,37.8,0.935,,97.2,100,61.265,0.02,0,720,390,390,,,,150,,,,180,,,,,,,,330,0,330,98%,75%,54%,100%,40%,,63.27,67256.01,1075.59,0,17000000,,0,Oct-22
23-Oct-22,No Plan,,-,Night,,0,-,-,1,-,-,12,-,,0,0,,0,,,,,,,,,,,,,,,,,,,,,0,0,-,-,0,0,0,,0,,0,0,0,720,540,540,,,,,,,,180,,,,,,,,180,0,180,0%,0%,75%,100%,0%,,-,0,0,0,0,,0,Oct-22
23-Oct-22,BUMPER CAP REAR - M06901003 - MO- 21TE00042,8,80 T,Night,21TE00042,BUMPER CAP REAR - M06901003 - MO,Nylon 66,A3WG3,1,1,80 T,12,30,,120,1440,998,984,14,,,,,,,,,,,,,,,,,,,,14,1402.805611,20,2,19.68,1.996,0.28,,21.956,,-2.276,0.01,0,720,540,540,,,,,,,,180,,,,,,,,180,0,180,99%,69%,75%,100%,51%,,22.34,21982.56,312.76,0,14000000,,0,Oct-22
23-Oct-22,DIRT SHIELD - M06431856 - MO- 21TE00035,9,2 L,Night,21TE00035,DIRT SHIELD - M06431856 - MO,HDPE,B56003,1,1,2 L,12,32,,113,1350,1080,1067,,,,,,,,,,,,,13,,,,,,,,13,1203.703704,44,17,46.948,18.36,0.572,,65.88,,-18.932,0.01,0,720,540,540,,,,,,,,180,,,,,,,,180,0,180,99%,80%,75%,100%,59%,,10.93,11662.31,142.09,0,13000000,,0,Oct-22
23-Oct-22,BUMPER CAP FRONT - M06901019 - MO- 21TE00041,10,80T,Night,21TE00041,BUMPER CAP FRONT - M06901019 - MO,Nylon 66,A3WG3,1,1,80T,12,35,,103,1234,722,722,,,,,,,,,,,,,,,,,,,,,0,0,52,3,37.544,2.166,0,,39.71,,-2.166,0,0,720,490,440,,,,,,,,180,,,,,50,,,230,50,180,100%,58%,68%,90%,40%,,37.67,27197.74,0,0,0,,0,Oct-22
26-Oct-22,COVER INSTRUMENT PANEL CLUSTER SHROUD FR - FC430268 - MO- 21PR01044,1,1100 T,Day,21PR01044,COVER INSTRUMENT PANEL CLUSTER SHROUD FR - FC430268 - MO,PPTF,XPPA11805 + XPPA5407,2,1,1100 T,12,85,,42,508,278,274,,,3,,,,,,,,,,,,,,,,,1,4,1438.848921,1400,20,383.6,5.56,5.6,,394.76,100,88.84,0.01,0,720,645,570,,,,,,,,,,,,,20,,55,75,75,0,99%,55%,90%,88%,48%,,328.77,90082.98,1315.08,0,4000000,,0,Oct-22
26-Oct-22,BLOWER COVER - FEH02968 - MO- 21AL04039,1,1100 T,Day,21AL04039,BLOWER COVER - FEH02968 - MO,PPTF,5407,2,1,1100 T,12,68,,53,635,155,150,,,,,,,,,,,,,,,,,,,,5,5,3225.806452,600,10,90,1.55,3,,94.55,,-4.55,0.03,0,720,670,620,,,,,,,,,,,,,50,,,50,50,0,97%,24%,93%,93%,22%,,186.96,28044,934.8,0,5000000,,0,Oct-22
26-Oct-22,FLAP RADIATOR G91 TOP - FT300368-MO- FL010121,2,450 T,Day,FL010121,FLAP RADIATOR G91 TOP - FT300368-Mo,PPGF20%,GFPP20%,2,1,450 T,12,100,,36,432,314,309,,,2,,,,,,,,,,,,,,,,,3,5,1592.356688,662,16,204.558,5.024,3.31,,212.892,,-8.334,0.02,0,720,675,630,,,,,,,,,,,,,,,45,45,45,0,98%,73%,94%,93%,67%,,141.67,43776.03,708.35,0,5000000,,0,Oct-22
